"","vc","br","conc","cond","log10conc","Mm_in_broth_median","Mm_in_broth_mad","Mm_in_broth_mean","Mm_in_broth_sd"
"20","VC DMSO 0.3%",1,0.0123456790123457,"Fh_12",-1.90848501887865,0.973666660102548,0,0.973666660102548,NA
"21","VC DMSO 0.3%",1,0.037037037037037,"Fh_12",-1.43136376415899,0.954096356084932,0,0.954096356084932,NA
"22","VC DMSO 0.3%",1,0.111111111111111,"Fh_12",-0.954242509439325,0.894726821321261,0,0.894726821321261,NA
"23","VC DMSO 0.3%",1,0.333333333333333,"Fh_12",-0.477121254719663,0.865382051164374,0,0.865382051164374,NA
"24","VC DMSO 0.3%",1,1,"Fh_12",0,0.812767589013644,0,0.812767589013644,NA
"25","VC DMSO 0.3%",1,0.00411522633744856,"Gc_07",-2.38560627359831,0.77170392390776,0,0.77170392390776,NA
"26","VC DMSO 0.3%",1,0.0123456790123457,"Gc_07",-1.90848501887865,0.822041134502201,0,0.822041134502201,NA
"27","VC DMSO 0.3%",1,0.037037037037037,"Gc_07",-1.43136376415899,0.762006810333505,0,0.762006810333505,NA
"28","VC DMSO 0.3%",1,0.111111111111111,"Gc_07",-0.954242509439325,0.803158205818999,0,0.803158205818999,NA
"29","VC DMSO 0.3%",1,0.333333333333333,"Gc_07",-0.477121254719663,0.84454446599867,0,0.84454446599867,NA
"30","VC DMSO 0.3%",1,1,"Gc_07",0,0.908777809377656,0,0.908777809377656,NA
"31","VC DMSO 0.3%",1,0.00411522633744856,"Gc_23",-2.38560627359831,0.977507138175071,0,0.977507138175071,NA
"32","VC DMSO 0.3%",1,0.0123456790123457,"Gc_23",-1.90848501887865,0.91242492437794,0,0.91242492437794,NA
"33","VC DMSO 0.3%",1,0.037037037037037,"Gc_23",-1.43136376415899,0.949248884639714,0,0.949248884639714,NA
"34","VC DMSO 0.3%",1,0.111111111111111,"Gc_23",-0.954242509439325,0.930654700112952,0,0.930654700112952,NA
"35","VC DMSO 0.3%",1,0.333333333333333,"Gc_23",-0.477121254719663,0.856570681034745,0,0.856570681034745,NA
"36","VC DMSO 0.3%",1,1,"Gc_23",0,0.746671345383998,0,0.746671345383998,NA
"37","VC DMSO 0.3%",1,0.00411522633744856,"Gc_25",-2.38560627359831,0.813541839261268,0,0.813541839261268,NA
"38","VC DMSO 0.3%",1,0.0123456790123457,"Gc_25",-1.90848501887865,0.818724646074748,0,0.818724646074748,NA
"39","VC DMSO 0.3%",1,0.037037037037037,"Gc_25",-1.43136376415899,0.778241764008621,0,0.778241764008621,NA
"40","VC DMSO 0.3%",1,0.111111111111111,"Gc_25",-0.954242509439325,0.764751704524534,0,0.764751704524534,NA
"41","VC DMSO 0.3%",1,0.333333333333333,"Gc_25",-0.477121254719663,0.798382499984727,0,0.798382499984727,NA
"42","VC DMSO 0.3%",1,1,"Gc_25",0,0.962767542875345,0,0.962767542875345,NA
"43","VC DMSO 0.3%",1,0.00411522633744856,"Gc_26",-2.38560627359831,0.764900527701365,0,0.764900527701365,NA
"44","VC DMSO 0.3%",1,0.0123456790123457,"Gc_26",-1.90848501887865,0.823032867809113,0,0.823032867809113,NA
"45","VC DMSO 0.3%",1,0.037037037037037,"Gc_26",-1.43136376415899,0.797795784633641,0,0.797795784633641,NA
