,vc,br,conc,cond,well,log10conc,dose_conds_rlu
89,VC DMSO 0.3%,1,0.333333333333333,Gc_37,E15,-0.477121254719662,0.848579117847056
90,VC DMSO 0.3%,1,1,Gc_37,E13,0,0.830167968625212
91,VC DMSO 0.3%,1,0.00411522633744856,Ko_09,E24,-2.38560627359831,1.01238253248965
92,VC DMSO 0.3%,1,0.0123456790123457,Ko_09,E22,-1.90848501887865,1.00070810656167
93,VC DMSO 0.3%,1,0.037037037037037,Ko_09,E20,-1.43136376415899,0.903098452501243
94,VC DMSO 0.3%,1,0.111111111111111,Ko_09,E18,-0.954242509439325,0.906945762803418
95,VC DMSO 0.3%,1,0.333333333333333,Ko_09,E16,-0.477121254719662,0.87197659420181
96,VC DMSO 0.3%,1,1,Ko_09,E14,0,0.810403932242449
97,VC DMSO 0.3%,1,0.00411522633744856,Ko_11,F11,-2.38560627359831,0.795736655560473
98,VC DMSO 0.3%,1,0.0123456790123457,Ko_11,F9,-1.90848501887865,0.794823422175585
99,VC DMSO 0.3%,1,0.037037037037037,Ko_11,F7,-1.43136376415899,0.882519795752442
100,VC DMSO 0.3%,1,0.111111111111111,Ko_11,F5,-0.954242509439325,0.892493466506319
101,VC DMSO 0.3%,1,0.333333333333333,Ko_11,F3,-0.477121254719662,0.868247945357968
102,VC DMSO 0.3%,1,1,Ko_11,F1,0,0.968243927603446
103,VC DMSO 0.3%,1,0.00411522633744856,Ko_15,F23,-2.38560627359831,1.05010984382079
104,VC DMSO 0.3%,1,0.0123456790123457,Ko_15,F21,-1.90848501887865,0.986683087754537
105,VC DMSO 0.3%,1,0.037037037037037,Ko_15,F19,-1.43136376415899,0.973183503435437
106,VC DMSO 0.3%,1,0.111111111111111,Ko_15,F17,-0.954242509439325,0.908235819190138
107,VC DMSO 0.3%,1,0.333333333333333,Ko_15,F15,-0.477121254719662,0.942513018366517
108,VC DMSO 0.3%,1,1,Ko_15,F13,0,0.905143137807599
109,VC DMSO 0.3%,1,0.00411522633744856,Ko_16,G11,-2.38560627359831,0.816431367579273
110,VC DMSO 0.3%,1,0.0123456790123457,Ko_16,G9,-1.90848501887865,0.926618887230044
111,VC DMSO 0.3%,1,0.037037037037037,Ko_16,G7,-1.43136376415899,0.981508803276383
112,VC DMSO 0.3%,1,0.111111111111111,Ko_16,G5,-0.954242509439325,0.844605691840811
113,VC DMSO 0.3%,1,0.333333333333333,Ko_16,G3,-0.477121254719662,0.869951475202529
114,VC DMSO 0.3%,1,1,Ko_16,G1,0,0.854945472371954
115,VC DMSO 0.3%,1,0.00411522633744856,Ko_17,G12,-2.38560627359831,0.845222441771675
116,VC DMSO 0.3%,1,0.0123456790123457,Ko_17,G10,-1.90848501887865,0.905529858667583
117,VC DMSO 0.3%,1,0.037037037037037,Ko_17,G8,-1.43136376415899,0.873979093388768
118,VC DMSO 0.3%,1,0.111111111111111,Ko_17,G6,-0.954242509439325,0.846023076567657
119,VC DMSO 0.3%,1,0.333333333333333,Ko_17,G4,-0.477121254719662,1.00101616709968
120,VC DMSO 0.3%,1,1,Ko_17,G2,0,1.01668878808122
121,VC DMSO 0.3%,1,0.00411522633744856,Ko_18,G23,-2.38560627359831,0.934651807804057
122,VC DMSO 0.3%,1,0.0123456790123457,Ko_18,G21,-1.90848501887865,0.875234734038937
123,VC DMSO 0.3%,1,0.037037037037037,Ko_18,G19,-1.43136376415899,0.909943606161278
124,VC DMSO 0.3%,1,0.111111111111111,Ko_18,G17,-0.954242509439325,1.00347400941591
125,VC DMSO 0.3%,1,0.333333333333333,Ko_18,G15,-0.477121254719662,0.843576883142363
126,VC DMSO 0.3%,1,1,Ko_18,G13,0,0.829057649397152
127,VC DMSO 0.3%,1,0.00411522633744856,Ko_20,G24,-2.38560627359831,1.16464120767234
128,VC DMSO 0.3%,1,0.0123456790123457,Ko_20,G22,-1.90848501887865,1.06139126873339
129,VC DMSO 0.3%,1,0.037037037037037,Ko_20,G20,-1.43136376415899,1.03021603517464
130,VC DMSO 0.3%,1,0.111111111111111,Ko_20,G18,-0.954242509439325,0.990500312497105
131,VC DMSO 0.3%,1,0.333333333333333,Ko_20,G16,-0.477121254719662,0.915893944764788
132,VC DMSO 0.3%,1,1,Ko_20,G14,0,0.930803590123095
133,VC DMSO 0.3%,1,0.00411522633744856,Ko_21,H11,-2.38560627359831,0.82937875579776
134,VC DMSO 0.3%,1,0.0123456790123457,Ko_21,H9,-1.90848501887865,0.826698019099894
135,VC DMSO 0.3%,1,0.037037037037037,Ko_21,H7,-1.43136376415899,0.794794108463024
136,VC DMSO 0.3%,1,0.111111111111111,Ko_21,H5,-0.954242509439325,0.817134334970063
137,VC DMSO 0.3%,1,0.333333333333333,Ko_21,H3,-0.477121254719662,0.865829220734959
138,VC DMSO 0.3%,1,1,Ko_21,H1,0,0.839557860341815
139,VC DMSO 0.3%,1,0.00411522633744856,Ko_22,H23,-2.38560627359831,0.94392810589253
140,VC DMSO 0.3%,1,0.0123456790123457,Ko_22,H21,-1.90848501887865,0.931252826863578
141,VC DMSO 0.3%,1,0.037037037037037,Ko_22,H19,-1.43136376415899,0.855720171801608
142,VC DMSO 0.3%,1,0.111111111111111,Ko_22,H17,-0.954242509439325,0.921002114310853
143,VC DMSO 0.3%,1,0.333333333333333,Ko_22,H15,-0.477121254719662,0.858935975688375
144,VC DMSO 0.3%,1,1,Ko_22,H13,0,0.851363422243621
145,VC DMSO 0.3%,1,0.00411522633744856,Ko_25,I11,-2.38560627359831,0.853720935634563
146,VC DMSO 0.3%,1,0.0123456790123457,Ko_25,I9,-1.90848501887865,0.858507774655284
147,VC DMSO 0.3%,1,0.037037037037037,Ko_25,I7,-1.43136376415899,0.847794535480174
148,VC DMSO 0.3%,1,0.111111111111111,Ko_25,I5,-0.954242509439325,0.841217903770484
149,VC DMSO 0.3%,1,0.333333333333333,Ko_25,I3,-0.477121254719662,0.839831401629354
150,VC DMSO 0.3%,1,1,Ko_25,I1,0,0.913686317666625
151,VC DMSO 0.3%,1,0.00411522633744856,Ko_26,I12,-2.38560627359831,0.882667083939055
152,VC DMSO 0.3%,1,0.0123456790123457,Ko_26,I10,-1.90848501887865,0.891848920445366
153,VC DMSO 0.3%,1,0.037037037037037,Ko_26,I8,-1.43136376415899,0.831348732029746
154,VC DMSO 0.3%,1,0.111111111111111,Ko_26,I6,-0.954242509439325,0.764939513282227
155,VC DMSO 0.3%,1,0.333333333333333,Ko_26,I4,-0.477121254719662,0.870573353269002
156,VC DMSO 0.3%,1,1,Ko_26,I2,0,0.888366519407654
157,VC DMSO 0.3%,1,0.00411522633744856,Ko_29,I23,-2.38560627359831,0.945240742613291
158,VC DMSO 0.3%,1,0.0123456790123457,Ko_29,I21,-1.90848501887865,0.984623947179822
159,VC DMSO 0.3%,1,0.037037037037037,Ko_29,I19,-1.43136376415899,0.958844386399931
160,VC DMSO 0.3%,1,0.111111111111111,Ko_29,I17,-0.954242509439325,0.932653607708782
161,VC DMSO 0.3%,1,0.333333333333333,Ko_29,I15,-0.477121254719662,0.876050258364383
162,VC DMSO 0.3%,1,1,Ko_29,I13,0,0.853210739141778
163,VC DMSO 0.3%,1,0.00411522633744856,Ko_30,I24,-2.38560627359831,1.00922591121078
164,VC DMSO 0.3%,1,0.0123456790123457,Ko_30,I22,-1.90848501887865,0.973622546696929
165,VC DMSO 0.3%,1,0.037037037037037,Ko_30,I20,-1.43136376415899,0.965467859246947
166,VC DMSO 0.3%,1,0.111111111111111,Ko_30,I18,-0.954242509439325,0.930341756080341
167,VC DMSO 0.3%,1,0.333333333333333,Ko_30,I16,-0.477121254719662,0.790405228246068
168,VC DMSO 0.3%,1,1,Ko_30,I14,0,0.710121523246785
169,VC DMSO 0.3%,1,0.00411522633744856,Ko_43,J11,-2.38560627359831,0.906225341970786
170,VC DMSO 0.3%,1,0.0123456790123457,Ko_43,J9,-1.90848501887865,0.873642411406972
171,VC DMSO 0.3%,1,0.037037037037037,Ko_43,J7,-1.43136376415899,0.966637879274213
172,VC DMSO 0.3%,1,0.111111111111111,Ko_43,J5,-0.954242509439325,0.843284939690798
173,VC DMSO 0.3%,1,0.333333333333333,Ko_43,J3,-0.477121254719662,0.764719811978669
174,VC DMSO 0.3%,1,1,Ko_43,J1,0,0.783663649434343
175,VC DMSO 0.3%,1,0.00411522633744856,Ko_44,J23,-2.38560627359831,1.08732024331008
176,VC DMSO 0.3%,1,0.0123456790123457,Ko_44,J21,-1.90848501887865,0.953606337035466
177,VC DMSO 0.3%,1,0.037037037037037,Ko_44,J19,-1.43136376415899,1.06330119321357
178,VC DMSO 0.3%,1,0.111111111111111,Ko_44,J17,-0.954242509439325,1.1925592858642
179,VC DMSO 0.3%,1,0.333333333333333,Ko_44,J15,-0.477121254719662,0.993199013678513
180,VC DMSO 0.3%,1,1,Ko_44,J13,0,0.902804215579075
181,VC DMSO 0.3%,1,0.00411522633744856,Ko_58,K11,-2.38560627359831,0.848125725007094
