,vc,br,conc,cond,well,log10conc,dose_conds_rlu,dose_conds_rfu
205,VC DMSO 0.3%,3,0.00411522633744856,Mo_64,L11,-2.38560627359831,0.961689661951281,1.12735015433365
206,VC DMSO 0.3%,3,0.0123456790123457,Mo_64,L9,-1.90848501887865,0.870780846373119,1.16041864699856
207,VC DMSO 0.3%,3,0.037037037037037,Mo_64,L7,-1.43136376415899,0.577841984198586,1.25048505846722
208,VC DMSO 0.3%,3,0.111111111111111,Mo_64,L5,-0.954242509439325,0.532721038910303,1.57165411563932
209,VC DMSO 0.3%,3,0.333333333333333,Mo_64,L3,-0.477121254719662,-0.113018268985322,-0.101741000260382
210,VC DMSO 0.3%,3,1,Mo_64,L1,0,-0.252754141741178,-0.253935376793274
211,VC DMSO 0.3%,3,0.00411522633744856,Mo_65,L23,-2.38560627359831,0.96750888489022,0.957912458554868
212,VC DMSO 0.3%,3,0.0123456790123457,Mo_65,L21,-1.90848501887865,0.826469245496105,0.983697462751829
213,VC DMSO 0.3%,3,0.037037037037037,Mo_65,L19,-1.43136376415899,1.03203523613662,1.0221757518172
214,VC DMSO 0.3%,3,0.111111111111111,Mo_65,L17,-0.954242509439325,1.10945492054107,1.02993090254035
215,VC DMSO 0.3%,3,0.333333333333333,Mo_65,L15,-0.477121254719662,0.938737062176756,1.24640902734312
216,VC DMSO 0.3%,3,1,Mo_65,L13,0,0.462838980157837,1.12174354601444
217,VC DMSO 0.3%,3,0.00411522633744856,Mo_71,M11,-2.38560627359831,0.950952393518673,1.06104877605108
218,VC DMSO 0.3%,3,0.0123456790123457,Mo_71,M9,-1.90848501887865,1.08787566529107,1.08233655810349
219,VC DMSO 0.3%,3,0.037037037037037,Mo_71,M7,-1.43136376415899,0.972038305647511,1.11627891709105
220,VC DMSO 0.3%,3,0.111111111111111,Mo_71,M5,-0.954242509439325,0.759534818833801,1.2226586952826
