"","vc","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"95","VC DMSO 0.3%",0.333333333333333,"Ko_09",-0.477121254719663,1.00936330807798,0.881069470402936,0,0,1.00936330807798,0.881069470402936,NA,NA
"96","VC DMSO 0.3%",1,"Ko_09",0,0.4427409704501,1.00109817370956,0,0,0.4427409704501,1.00109817370956,NA,NA
"97","VC DMSO 0.3%",0.00411522633744856,"Ko_11",-2.38560627359831,1.01487876961808,1.00831751875075,0,0,1.01487876961808,1.00831751875075,NA,NA
"98","VC DMSO 0.3%",0.0123456790123457,"Ko_11",-1.90848501887865,1.15691570016308,0.974349504702321,0,0,1.15691570016308,0.974349504702321,NA,NA
"99","VC DMSO 0.3%",0.037037037037037,"Ko_11",-1.43136376415899,0.927062406868161,1.01235858709981,0,0,0.927062406868161,1.01235858709981,NA,NA
"100","VC DMSO 0.3%",0.111111111111111,"Ko_11",-0.954242509439325,0.940829285966034,0.988894357921616,0,0,0.940829285966034,0.988894357921616,NA,NA
"101","VC DMSO 0.3%",0.333333333333333,"Ko_11",-0.477121254719663,0.855467119779714,0.976702613140796,0,0,0.855467119779714,0.976702613140796,NA,NA
"102","VC DMSO 0.3%",1,"Ko_11",0,0.38112594412832,0.954554942726032,0,0,0.38112594412832,0.954554942726032,NA,NA
"103","VC DMSO 0.3%",0.00411522633744856,"Ko_15",-2.38560627359831,1.02963556551775,0.901937857172542,0,0,1.02963556551775,0.901937857172542,NA,NA
"104","VC DMSO 0.3%",0.0123456790123457,"Ko_15",-1.90848501887865,1.06418404394251,0.842773713224522,0,0,1.06418404394251,0.842773713224522,NA,NA
"105","VC DMSO 0.3%",0.037037037037037,"Ko_15",-1.43136376415899,0.954303470924053,0.821768583203396,0,0,0.954303470924053,0.821768583203396,NA,NA
"106","VC DMSO 0.3%",0.111111111111111,"Ko_15",-0.954242509439325,1.13733380618056,0.889989336029885,0,0,1.13733380618056,0.889989336029885,NA,NA
"107","VC DMSO 0.3%",0.333333333333333,"Ko_15",-0.477121254719663,1.20101818407528,0.936559493583648,0,0,1.20101818407528,0.936559493583648,NA,NA
"108","VC DMSO 0.3%",1,"Ko_15",0,0.663888504096618,1.12421375130442,0,0,0.663888504096618,1.12421375130442,NA,NA
"109","VC DMSO 0.3%",0.00411522633744856,"Ko_16",-2.38560627359831,0.938728649727763,1.05429924358735,0,0,0.938728649727763,1.05429924358735,NA,NA
"110","VC DMSO 0.3%",0.0123456790123457,"Ko_16",-1.90848501887865,0.948134317028673,1.03355044099729,0,0,0.948134317028673,1.03355044099729,NA,NA
"111","VC DMSO 0.3%",0.037037037037037,"Ko_16",-1.43136376415899,0.838042822780111,0.984330767209526,0,0,0.838042822780111,0.984330767209526,NA,NA
"112","VC DMSO 0.3%",0.111111111111111,"Ko_16",-0.954242509439325,0.615834940010386,1.03716023076235,0,0,0.615834940010386,1.03716023076235,NA,NA
"113","VC DMSO 0.3%",0.333333333333333,"Ko_16",-0.477121254719663,-0.230792935773919,-0.184131920255713,0,0,-0.230792935773919,-0.184131920255713,NA,NA
"114","VC DMSO 0.3%",1,"Ko_16",0,-0.246179788432671,-0.321743411851736,0,0,-0.246179788432671,-0.321743411851736,NA,NA
"115","VC DMSO 0.3%",0.00411522633744856,"Ko_17",-2.38560627359831,0.851453952969953,0.995696240259398,0,0,0.851453952969953,0.995696240259398,NA,NA
"116","VC DMSO 0.3%",0.0123456790123457,"Ko_17",-1.90848501887865,1.02554353293817,0.979758376265988,0,0,1.02554353293817,0.979758376265988,NA,NA
"117","VC DMSO 0.3%",0.037037037037037,"Ko_17",-1.43136376415899,0.847833738231648,1.0656522128601,0,0,0.847833738231648,1.0656522128601,NA,NA
"118","VC DMSO 0.3%",0.111111111111111,"Ko_17",-0.954242509439325,0.680529458527553,0.945677041995862,0,0,0.680529458527553,0.945677041995862,NA,NA
"119","VC DMSO 0.3%",0.333333333333333,"Ko_17",-0.477121254719663,-0.0149435138185169,0.447338128785891,0,0,-0.0149435138185169,0.447338128785891,NA,NA
"120","VC DMSO 0.3%",1,"Ko_17",0,-0.221905021867848,-0.230947432538169,0,0,-0.221905021867848,-0.230947432538169,NA,NA
"121","VC DMSO 0.3%",0.00411522633744856,"Ko_18",-2.38560627359831,0.868023150410997,0.853717351042196,0,0,0.868023150410997,0.853717351042196,NA,NA
"122","VC DMSO 0.3%",0.0123456790123457,"Ko_18",-1.90848501887865,0.834347271978692,0.975053421491195,0,0,0.834347271978692,0.975053421491195,NA,NA
"123","VC DMSO 0.3%",0.037037037037037,"Ko_18",-1.43136376415899,0.978655071003314,0.832185289921403,0,0,0.978655071003314,0.832185289921403,NA,NA
"124","VC DMSO 0.3%",0.111111111111111,"Ko_18",-0.954242509439325,0.956118036364871,0.950559449713531,0,0,0.956118036364871,0.950559449713531,NA,NA
"125","VC DMSO 0.3%",0.333333333333333,"Ko_18",-0.477121254719663,0.885368079747764,0.971193826880409,0,0,0.885368079747764,0.971193826880409,NA,NA
"126","VC DMSO 0.3%",1,"Ko_18",0,0.305128523134435,1.15489731000615,0,0,0.305128523134435,1.15489731000615,NA,NA
"127","VC DMSO 0.3%",0.00411522633744856,"Ko_20",-2.38560627359831,0.656489780850495,0.870755481903659,0,0,0.656489780850495,0.870755481903659,NA,NA
"128","VC DMSO 0.3%",0.0123456790123457,"Ko_20",-1.90848501887865,0.895680453826266,0.909205024161103,0,0,0.895680453826266,0.909205024161103,NA,NA
"129","VC DMSO 0.3%",0.037037037037037,"Ko_20",-1.43136376415899,0.846994296089971,0.988999152057012,0,0,0.846994296089971,0.988999152057012,NA,NA
"130","VC DMSO 0.3%",0.111111111111111,"Ko_20",-0.954242509439325,0.716677544078132,0.94138595845071,0,0,0.716677544078132,0.94138595845071,NA,NA
"131","VC DMSO 0.3%",0.333333333333333,"Ko_20",-0.477121254719663,0.328970202641176,1.17040063843335,0,0,0.328970202641176,1.17040063843335,NA,NA
"132","VC DMSO 0.3%",1,"Ko_20",0,-0.210872861881882,-0.130723701826465,0,0,-0.210872861881882,-0.130723701826465,NA,NA
"133","VC DMSO 0.3%",0.00411522633744856,"Ko_21",-2.38560627359831,1.01397726003877,1.08094102702488,0,0,1.01397726003877,1.08094102702488,NA,NA
"134","VC DMSO 0.3%",0.0123456790123457,"Ko_21",-1.90848501887865,0.705270453545727,1.0704616307271,0,0,0.705270453545727,1.0704616307271,NA,NA
"135","VC DMSO 0.3%",0.037037037037037,"Ko_21",-1.43136376415899,0.704452795755476,1.02498347947931,0,0,0.704452795755476,1.02498347947931,NA,NA
"136","VC DMSO 0.3%",0.111111111111111,"Ko_21",-0.954242509439325,0.461914553886035,1.08238366496625,0,0,0.461914553886035,1.08238366496625,NA,NA
"137","VC DMSO 0.3%",0.333333333333333,"Ko_21",-0.477121254719663,0.354999277315181,1.02649480026153,0,0,0.354999277315181,1.02649480026153,NA,NA
"138","VC DMSO 0.3%",1,"Ko_21",0,-0.234680253592887,-0.283984930872652,0,0,-0.234680253592887,-0.283984930872652,NA,NA
"139","VC DMSO 0.3%",0.00411522633744856,"Ko_22",-2.38560627359831,1.00406316687408,0.873918339224737,0,0,1.00406316687408,0.873918339224737,NA,NA
"140","VC DMSO 0.3%",0.0123456790123457,"Ko_22",-1.90848501887865,0.922661995306006,1.00866940559158,0,0,0.922661995306006,1.00866940559158,NA,NA
"141","VC DMSO 0.3%",0.037037037037037,"Ko_22",-1.43136376415899,1.15239616168559,0.883285456269571,0,0,1.15239616168559,0.883285456269571,NA,NA
"142","VC DMSO 0.3%",0.111111111111111,"Ko_22",-0.954242509439325,1.13958599491479,0.936207196387199,0,0,1.13958599491479,0.936207196387199,NA,NA
"143","VC DMSO 0.3%",0.333333333333333,"Ko_22",-0.477121254719663,1.09938603096936,0.976203732778865,0,0,1.09938603096936,0.976203732778865,NA,NA
