"","conc","cond","mean","sd","median","mad","log10conc","readout"
"290",1,"Fh_12",0.762517966315698,0.110272633568319,0.706548525509458,0.0223789762128303,0,"Mm in infection"
"291",1,"Gc_07",0.698082283056182,0.0802206344827685,0.695684809504313,0.113563528477947,0,"Mm in infection"
"292",1,"Gc_23",0.213981490002903,0.139480160419428,0.201754573591397,0.179005080790849,0,"Mm in infection"
"293",1,"Gc_25",0.358134969853292,0.0326252537252004,0.353676367578029,0.0381147556717726,0,"Mm in infection"
"294",1,"Gc_26",0.178127147376219,0.0629261865726731,0.214404614546005,0.000157068763863082,0,"Mm in infection"
"295",1,"Gc_28",0.280833348880859,0.0418718210982011,0.284813661518894,0.0530166248143433,0,"Mm in infection"
"296",1,"Gc_32",0.280877089586135,0.0269107100477738,0.269301299441005,0.0112826505256692,0,"Mm in infection"
"297",1,"Gc_33",0.350391281219104,0.0730864958309237,0.391533847773914,0.00311224437764739,0,"Mm in infection"
"298",1,"Gc_34",0.349892611425263,0.0335928680685377,0.334388305294089,0.0111732975480236,0,"Mm in infection"
"299",1,"Gc_35",0.400460373875043,0.0555024732062631,0.395135417996221,0.070161268460792,0,"Mm in infection"
"300",1,"Gc_36",0.384705403034944,0.0364051163726753,0.404018692021191,0.00498968780594275,0,"Mm in infection"
"301",1,"Gc_37",0.426284593886784,0.0386143145658164,0.413022621756377,0.0251653056300847,0,"Mm in infection"
"302",1,"Ko_09",0.436966589388438,0.15296255878135,0.4427409704501,0.21381941723762,0,"Mm in infection"
"303",1,"Ko_11",0.331487096343409,0.0984385108809769,0.38112594412832,0.0209009896629491,0,"Mm in infection"
"304",1,"Ko_15",0.492649432329779,0.292769874152292,0.659462232799039,0.00656238982579046,0,"Mm in infection"
"305",1,"Ko_16",-0.266184146558469,0.0321266045621714,-0.249131049561509,0.0043755397496156,0,"Mm in infection"
"306",1,"Ko_17",-0.250670159638545,0.0351247924220599,-0.240290334062382,0.0272580638596156,0,"Mm in infection"
"307",1,"Ko_18",0.225950761518129,0.270488210381983,0.305128523134435,0.21184258022832,0,"Mm in infection"
"308",1,"Ko_20",-0.2309089517374,0.0368100488595283,-0.210872861881882,0.00357251745200171,0,"Mm in infection"
"309",1,"Ko_21",-0.259745265294687,0.0333354096485021,-0.246978395111286,0.0182332246151786,0,"Mm in infection"
"310",1,"Ko_22",0.995587663891659,0.143863757310019,1.06888058336074,0.0284137471004677,0,"Mm in infection"
"311",1,"Ko_25",0.137445276140286,0.225470620769296,0.260764078488161,0.02015609040372,0,"Mm in infection"
"312",1,"Ko_26",0.643483292911051,0.197306601997732,0.594721191718061,0.177306135999562,0,"Mm in infection"
"313",1,"Ko_29",-0.234344348982705,0.0542770082641507,-0.203772697230978,0.00225979195534234,0,"Mm in infection"
"314",1,"Ko_30",-0.238364884774931,0.0483434704040449,-0.225695924043764,0.0416292632772751,0,"Mm in infection"
"315",1,"Ko_43",-0.261199152993936,0.040107115634139,-0.250537402692548,0.0341549291694828,0,"Mm in infection"
"316",1,"Ko_44",-0.241308788226513,0.0104627872333134,-0.236282850850735,0.00292895102394938,0,"Mm in infection"
"317",1,"Ko_58",0.482996489419264,0.514668741814137,0.765877855533745,0.0419588802945723,0,"Mm in infection"
"318",1,"Mo_07",0.8728152297934,0.0663015080744878,0.851983211508217,0.0482612086752279,0,"Mm in infection"
"319",1,"Mo_62",-0.251274248405617,0.0193802956360857,-0.240786404829202,0.00205842667066309,0,"Mm in infection"
"320",1,"Mo_63",-0.233740204119693,0.0343951378656515,-0.215278522130502,0.00409304892867997,0,"Mm in infection"
"321",1,"Mo_64",-0.258609304911549,0.0462952778152287,-0.252754141741178,0.0552031243449132,0,"Mm in infection"
"322",1,"Mo_65",0.331483202724302,0.411150259979424,0.462838980157837,0.293652717062211,0,"Mm in infection"
"323",1,"Mo_71",-0.0202850219846014,0.22468153117814,0.103115551672956,0.0185884453201823,0,"Mm in infection"
"324",1,"Mo_72",-0.252919028858077,0.0442298425565993,-0.235474822422185,0.0228373119199888,0,"Mm in infection"
"325",1,"Pf_62",1.07567959490957,0.0800791531621127,1.08555315156719,0.0960887741255944,0,"Mm in infection"
"326",1,"Pf_63",0.24387244707563,0.0962215458498757,0.249947695796886,0.128933897792029,0,"Mm in infection"
"327",1,"Pf_64",0.591657577739761,0.00249247390465766,0.591701580126949,0.00359705298298624,0,"Mm in infection"
"328",1,"Pf_68",0.673872901960481,0.0612404984084736,0.695417174457394,0.0385663903877078,0,"Mm in infection"
"329",1,"Pf_70",-0.20956853137153,0.0832431472538614,-0.191031768948218,0.0798756833357483,0,"Mm in infection"
"330",1,"Pf_71",-0.250237295424342,0.0391508911957432,-0.230339056987727,0.00786833743141485,0,"Mm in infection"
"331",1,"Pf_72",0.622524392201131,0.0781250271711263,0.645783769311734,0.0601854274741213,0,"Mm in infection"
"332",1,"Pf_84",0.321312901355213,0.208762087396295,0.413411571664267,0.0812121019944625,0,"Mm in infection"
"333",1,"Pt_46",0.294253418473352,0.0670271763895019,0.284377330026005,0.0765986901499024,0,"Mm in infection"
"334",1,"Pt_47",0.302419418934904,0.121826318432222,0.236398000303501,0.0126666988484408,0,"Mm in infection"
"335",1,"Pt_48",0.430430334877703,0.0631971098890998,0.407822684258975,0.0388090376800776,0,"Mm in infection"
"336",1,"Sb_24",0.614444770284846,0.397162813399215,0.681956245643897,0.432279558924584,0,"Mm in infection"
"337",1,"Sb_25",0.111508861559757,0.246410440927979,0.235949868602875,0.0517910138355864,0,"Mm in infection"
"338",1,"Sb_26",0.456392595045441,0.308337737640388,0.443030309116504,0.427103077457164,0,"Mm in infection"
"339",1,"Sb_44",0.303950453894424,0.189625357181477,0.356712242637108,0.15551753853622,0,"Mm in infection"
"340",1,"Sp_35",0.061340880856206,0.0374941126853303,0.0683782341735333,0.0391991223808237,0,"Mm in infection"
"341",1,"Sp_36",0.105397382746863,0.0687977592305098,0.0755006373647859,0.0280133488466237,0,"Mm in infection"
"342",1,"Tt_07",0.824454913066089,0.0633357002199546,0.828098289988621,0.0856824069518349,0,"Mm in infection"
"343",0.00411522633744856,"-",0.946739130256578,0.203470835598496,0.983692373099234,0.0909819403285124,-2.38560627359831,"Dd in infection"
"344",0.00411522633744856,"Ak_07",1.31639626944826,0.898044861054054,0.817961510663594,0.0590788314317501,-2.38560627359831,"Dd in infection"
"345",0.00411522633744856,"Am_72",0.503706307956514,0.51293521259329,0.784838127577698,0.0441420865246231,-2.38560627359831,"Dd in infection"
